train_bce_mask:0.020363555219955743 train_dice:0.0667167829349637 train_bce_center:0.004958464408991859 train_dice_center:0.1571534914895892 train_l2_width:0.010833102429751306 train_l2_height:0.009875683137215674 train_loss:0.2699010822921991 
train_bce_mask:0.019503093138337136 train_dice:0.06514638839289547 train_bce_center:0.004788847104646265 train_dice_center:0.1529262602329254 train_l2_width:0.010401769576128572 train_l2_height:0.009455414116382599 train_loss:0.26222177147865294 
train_bce_mask:0.01953387151006609 train_dice:0.06499704872258008 train_bce_center:0.00486145828908775 train_dice_center:0.1536901891231537 train_l2_width:0.010549899807665497 train_l2_height:0.00960687258047983 train_loss:0.2632393416017294 
train_bce_mask:0.019571358803659678 train_dice:0.06540007069706917 train_bce_center:0.004902043007314205 train_dice_center:0.15343974698334933 train_l2_width:0.010620923107489943 train_l2_height:0.00952243564534001 train_loss:0.26345657967031 
train_bce_mask:0.019779285276308657 train_dice:0.0663129361346364 train_bce_center:0.004861168883508071 train_dice_center:0.15090573746711017 train_l2_width:0.010437034536153078 train_l2_height:0.009477771195815877 train_loss:0.2617739364504814 
train_bce_mask:0.019314733520150184 train_dice:0.06533867297694088 train_bce_center:0.004853088496020064 train_dice_center:0.15166867021471261 train_l2_width:0.010147348744794726 train_l2_height:0.00967430747114122 train_loss:0.2609968200325966 
train_bce_mask:0.01968158360105008 train_dice:0.06492684911936522 train_bce_center:0.004788239777553827 train_dice_center:0.15121706537902355 train_l2_width:0.01050471537746489 train_l2_height:0.009248686744831503 train_loss:0.26036714017391205 
train_bce_mask:0.01914441171102226 train_dice:0.06434797495603561 train_bce_center:0.004784104489954188 train_dice_center:0.14993664007633925 train_l2_width:0.01034066043794155 train_l2_height:0.009155527292750775 train_loss:0.2577093157917261 
train_bce_mask:0.018981337663717568 train_dice:0.06432883553206921 train_bce_center:0.004847142068319954 train_dice_center:0.1501337742432952 train_l2_width:0.010130785981891677 train_l2_height:0.00903684357763268 train_loss:0.2574587222188711 
train_bce_mask:0.019208957068622114 train_dice:0.06341342208907008 train_bce_center:0.004817117739003151 train_dice_center:0.1486750077456236 train_l2_width:0.010230867378413677 train_l2_height:0.009891571686603129 train_loss:0.2562369409948587 
train_bce_mask:0.01899140840396285 train_dice:0.06426191637292504 train_bce_center:0.004839764046482742 train_dice_center:0.15001846253871917 train_l2_width:0.009927651804173366 train_l2_height:0.008766500116325914 train_loss:0.2568057019263506 
train_bce_mask:0.019517514831386508 train_dice:0.06445344500243663 train_bce_center:0.00478744106949307 train_dice_center:0.14671208430081606 train_l2_width:0.010008684115018696 train_l2_height:0.009626475180266426 train_loss:0.2551056433469057 
train_bce_mask:0.01874411797616631 train_dice:0.06349988542497158 train_bce_center:0.004764688917202875 train_dice_center:0.14600599333643913 train_l2_width:0.009573208197252825 train_l2_height:0.009290695155505091 train_loss:0.2518785882741213 
train_bce_mask:0.018768847174942493 train_dice:0.06342389602214098 train_bce_center:0.0046945200592745095 train_dice_center:0.14471828155219554 train_l2_width:0.00987215219065547 train_l2_height:0.009169847832527011 train_loss:0.25064754784107207 
train_bce_mask:0.018837167811580003 train_dice:0.06285475036129355 train_bce_center:0.0047401861811522394 train_dice_center:0.14487479142844678 train_l2_width:0.009752649627625943 train_l2_height:0.009286425716709346 train_loss:0.25034597180783746 
train_bce_mask:0.018464841204695402 train_dice:0.06178656797856093 train_bce_center:0.004746317194076255 train_dice_center:0.14389244467020035 train_l2_width:0.010087632667273283 train_l2_height:0.00953969699330628 train_loss:0.2485175009816885 
train_bce_mask:0.018781329179182647 train_dice:0.06232496276497841 train_bce_center:0.00496633659931831 train_dice_center:0.1466225700452924 train_l2_width:0.009640290320385247 train_l2_height:0.009057124250102789 train_loss:0.2513926111161709 
train_bce_mask:0.018341405503451823 train_dice:0.062446747440844774 train_bce_center:0.004745074396487326 train_dice_center:0.14344711154699324 train_l2_width:0.009754801960662007 train_l2_height:0.009188665018882602 train_loss:0.24792380817234516 
train_bce_mask:0.018334948271512986 train_dice:0.062261057551950216 train_bce_center:0.004796427791006863 train_dice_center:0.1443699335679412 train_l2_width:0.010192009003367275 train_l2_height:0.00911228863405995 train_loss:0.24906666800379754 
train_bce_mask:0.018051982787437738 train_dice:0.06099665891379118 train_bce_center:0.004665948927868158 train_dice_center:0.14123758673667908 train_l2_width:0.009324764466146006 train_l2_height:0.008911841636290774 train_loss:0.24318878650665282 
train_bce_mask:0.018283852585591377 train_dice:0.06145751606673002 train_bce_center:0.00470738643198274 train_dice_center:0.1409593043848872 train_l2_width:0.009547023882623762 train_l2_height:0.009209567203652114 train_loss:0.24416465051472186 
train_bce_mask:0.018278397992253302 train_dice:0.0619269996881485 train_bce_center:0.0047743947041453795 train_dice_center:0.14157469086349012 train_l2_width:0.009770630253478884 train_l2_height:0.009278556157369167 train_loss:0.24560366645455362 
train_bce_mask:0.017989323753863574 train_dice:0.05987911010161042 train_bce_center:0.004665903566638008 train_dice_center:0.14072508681565524 train_l2_width:0.009774752042721957 train_l2_height:0.008484504010993987 train_loss:0.24151867777109146 
train_bce_mask:0.017801730264909565 train_dice:0.06067344974726439 train_bce_center:0.004691689371247776 train_dice_center:0.13990507423877716 train_l2_width:0.009500371804460884 train_l2_height:0.008600251493044197 train_loss:0.24117256402969361 
train_bce_mask:0.017854346032254397 train_dice:0.060737923812121154 train_bce_center:0.0047425575728993865 train_dice_center:0.14088152293115855 train_l2_width:0.009812990669161081 train_l2_height:0.008782247628550977 train_loss:0.24281159415841103 
